itemId	binId
939-627-002-106	10 PINN CONN 4
939-628-001-603	10 PINS CONN  9
552-818-001-603	10 PINS CONN 2
552-818-002-603	10 PINS CONN 3
552-819-001-113	10 PINS CONN1
552-700-004-000	A01A
214-330-001-603	A-01-A-1-A
209-090-014-100	A-01-A-1-B
700-272-101	A-01-B-1-B
700-101-201	A-01-B-1-C
218-121-006-100	A-01-B-2
459-190-007-000	A-01-B-2-A
520-410-003-603	A-01-B-2-B
554-218-003-000	A-01-B-2-C
459-111-001-100	A-01-B-3-A
938-428-001-600	A-01B-3-B
569-002-009-603	A-01-C-1
700-122-501-000	A-01-C-1-A
752-242-001-603	A-01-C-1-B
240-100-002-653	A-01-C-1-C
996-369-001-100	A-01-C-2
559-998-011-000	A-01-C-2-A
904-704-002-105	A-01-C-2-A-
218-951-001-100	A-01-C-2-B
940-000-001-100	A-01-C-2-C
569-004-006-603	A-01-C-2-D
960-000-001-100	A-01-C-2-F
539-212-027-105	A-01-C-3-B
539-212-028-105	A-01-C-3-B-1
654-040-001-000	A-01-D-1
539-922-005-100	A01-D-1
600-902-002-603	A-01-D-1-B
539-040-035-603	A-01-D-2-D
539-210-021-604	A-01-D-3
85660	A-01-D-3-A
551-900-005-000	A01E
584-681-001-603	A-01-E-1-A
23212-554	A-01-E-1-B
551-900-004-000	A-01-E-2-A
872-509-002-100	A-01-E-2-B
939-858-001-603	A-01-E-3
537-030-005-000	A-01-E-3-A
454-010-001-000	A-02-A-2-A
454-010-001-103	A-02-A-2-B
076-920-001-000	A-02-A-2-F
539-933-054-000	A-02-A-3
454-010-001-100	A-02-A-3-A
029-290-014-501	A-02-A-3-B
539-293-001-698	A-02-A-3-C
554-200-006-603	A02B
209-091-004-100	A-02-B-1-A
706-005-005-000	A-02-B-2-A
539-912-005-100	A-02-B-3-A
539-035-001-603	A-02-B-3-B
209-011-004-100	A-02-B-3-C
700-153-101-000	A-02-C-2-A
218-016-001-698	A-02-C-2-C
209-094-002-000	A-02-C-3-A
209-096-001-698	A-02-C-3-B
210-220-001-653	A-02-C-3-C
554-210-006-603	A-02-C-3-D
218-190-004-000	A-02-D-1
551-910-002-000	A-02-D-1-A
215-030-001-694	A-02-D-1-B
218-004-040-698	A-02-D-1-C
SK-8044	A-02-D-2
539-924-002-694	A-02-D-3
459-001-014-603	A-02-D-3-A
SK-7968	A-02-E-1
700-103-401	A-02-E-1-A
700-103-401-000	A-02-E-1-A-1
459-114-001-000	A-02-E-2
SK-8041	A-02-E-2-A
454-010-001-000	A-02-E-3-A
539-924-014-604	A-03-02-A
554-210-008-603	A-03-A-1-A
459-001-014-100	A-03-A-2-A
561-192-002-603	A-03-A-2-D
029-214-003-603	A-03-B-1
213-920-003-661	A-03-B-1-A
701-103-810-000	A-03-B-2
216-030-001-640	A-03-B-2-A
213-900-001-000	A-03-B-2-B
240-100-015-603	A-03-B-3-A
209-101-004-100	A-03-B-3-B
650-901-008-000	A-03-C-1-A
